[Spectrum]
Version            = 1
IDData             = 95A7_2019-05-02_23-19-03_000_017
IDDevice           = SAM_8586
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2019-05-02 23:19:03
Unit3 = $f0 $03 Error mW/(m^2 nm Sr)
Unit4 = $f1 $00 Status 
p999 = 1
[END] of [Attributes]
[DATA]
 0 11 0 0
 309.90965643176 0 0 0
 313.22766421419 0 0 0
 316.54644259008 0 0 0
 319.86597972125 0.000862968861904893 0 0
 323.18626376952 0.000382881324584505 0 0
 326.50728289671 0.000494472874995492 0 0
 329.82902526464 0.000200707610346531 0 0
 333.15147903513 0.00023527829036565 0 0
 336.47463237 5.22155020455484e-005 0 0
 339.79847343107 0.000100008844635915 0 0
 343.12299038016 1.17867187807896e-005 0 0
 346.44817137909 0.000141294934542809 0 0
 349.77400458968 7.99343579204304e-005 0 0
 353.10047817375 4.29668214043731e-005 0 0
 356.42758029312 0.000151696870273476 0 0
 359.75529910961 0.000229165339213422 0 0
 363.08362278504 1.55668608193165e-005 0 0
 366.41253948123 0.000161850938352645 0 0
 369.74203736 0.000170346142127803 0 0
 373.07210458317 6.91371956236167e-005 0 0
 376.40272931256 0.000235659631960223 0 0
 379.73389970999 4.24035319678466e-005 0 0
 383.06560393728 0.000116149902951986 0 0
 386.39783015625 0.000227702949852563 0 0
 389.73056652872 0.000103949456314273 0 0
 393.06380121651 0.000157339222476671 0 0
 396.39752238144 0.000100021742554005 0 0
 399.73171818533 0.000118964183022617 0 0
 403.06637679 3.0013112831275e-005 0 0
 406.40148635727 4.43981724211927e-005 0 0
 409.73703504896 7.05927077882367e-005 0 0
 413.07301102689 0.000129271752403704 0 0
 416.40940245288 6.45931536480409e-005 0 0
 419.74619748875 -2.82042425930282e-005 0 0
 423.08338429632 3.39233890214738e-005 0 0
 426.42095103741 2.95749048052427e-005 0 0
 429.75888587384 4.62491178671668e-005 0 0
 433.09717696743 5.75651628792701e-006 0 0
 436.43581248 5.19627555264759e-005 0 0
 439.77478057337 4.7909212766175e-005 0 0
